,ER,EAZ,MLT,L
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,0.13461985840735685,-0.018756810648450025,18.80560745493965,3.940591063044976
67,0.10872330770968786,-0.06613741156253618,19.446417438039795,3.768101126837197
68,0.07233025146289093,-0.3416423105086747,20.115245020652598,3.568664785040392
69,,,,
70,,,,
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,,,,
79,,,,
80,,,,
81,,,,
82,,,,
83,,,,
84,,,,
85,,,,
86,-0.042278111890359946,0.12335938213392329,14.806287471600832,4.932484822534315
87,0.12521846790012026,0.13001642874407152,15.513957846629474,4.753592529229127
88,0.024814793169519428,0.12745227365854012,16.49018799694752,4.512251338646984
89,0.14153752160089994,0.028698041087881314,17.52842809542508,4.258758020275132
90,0.03694200136008046,0.09622542946955934,18.313055248301172,4.065378273422387
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
100,,,,
101,,,,
102,,,,
103,,,,
104,,,,
105,,,,
106,,,,
107,-0.0755764820640642,0.342311448572537,11.510359852272527,5.848030578089097
108,0.01077560210107563,0.3727452094530422,12.513729337053537,5.552016757967942
109,0.06195295343579255,0.22563911081215435,13.486182741435044,5.280868772963446
110,-0.16054379091928872,0.1130612221555646,14.248089933783724,5.077196766219863
111,,,,
112,,,,
113,,,,
114,,,,
115,,,,
116,,,,
117,,,,
118,,,,
119,,,,
120,,,,
121,,,,
122,,,,
123,,,,
124,,,,
125,,,,
126,,,,
127,,,,
128,-0.18033298437420092,-0.052037198659248496,8.65816395505878,6.80582381817626
129,-0.18066004091248178,0.049202404970174,9.52212071038972,6.494842227224342
130,-0.2154185307710558,0.22650021248261515,10.560137804645626,6.145873699083683
131,0.2621917290149404,0.45816162438214675,11.001255505491224,6.004403084455434
132,,,,
133,,,,
134,,,,
135,,,,
136,,,,
137,,,,
138,,,,
139,,,,
140,,,,
141,,,,
142,,,,
143,,,,
